word, delta, card(s)
On Search by Address,3,49981:49981:49981:49784:46560:23216:6876:1170:661:529:291:32:18:5:1:1:1:1:1:1
OnDepth Modular,0,9022:2362:18:18:1:1:1:1:1:1:1:1:1:1:1
OnDepth Modular,1,49981:48512:2654:269:25:5:5:5:1:1:1:1:1:1:1
OnDepth Modular,2,49981:49981:48751:28674:1318:607:55:42:6:1:1:1:1:1:1
OnDepth Modular,3,49981:49981:49981:49818:31183:10542:1464:319:48:14:2:1:1:1:1
OnLine Including,0,9022:2362:106:106:106:106:105:7:6:2:1:1:1:1:1:1
OnLine Including,1,49981:48512:2601:350:332:325:289:111:18:6:2:1:1:1:1:1
OnLine Including,2,49981:49981:48727:22325:8814:1932:558:297:122:27:8:4:1:1:1:1
OnLine Including,3,49981:49981:49981:49592:39713:14814:9409:776:465:146:49:15:4:3:1:1
P,0,18672
P,1,49981
P,2,49981
P,3,49981
PK design methyl,0,18672:15:2:1:1:1:1:1:1:1:1:1:1:1:1:1
PK design methyl,1,49981:20021:1200:6:3:1:1:1:1:1:1:1:1:1:1:1
PK design methyl,2,49981:49981:49697:5106:1830:513:276:275:275:193:6:4:4:4:1:1
PK design methyl,3,49981:49981:49981:49790:37251:8333:2073:1558:1553:1159:193:18:4:4:4:1
Paradox,0,18672:4119:2690:1859:110:11:11
Paradox,1,49981:48363:24518:4201:1882:136:12
Paradox,2,49981:49981:49606:35876:6844:1937:136
Paradox,3,49981:49981:49981:49606:40924:16214:2002
Parallel File System,0,18672:4119:2690:1859:1471:1471:1467:1466:1257:28:7:5:5:5:5:5:5:5:5:5
Parallel File System,1,49981:48363:24518:4201:2065:1671:1670:1666:1629:1257:118:9:5:5:5:5:5:5:5:5
Parallel File System,2,49981:49981:49606:35876:7563:2195:1968:1673:1670:1631:1447:273:35:6:5:5:5:5:5:5
Parallel File System,3,49981:49981:49981:49606:42607:10594:5092:1988:1722:1671:1659:1469:516:53:11:6:6:6:6:6
Parallel Machines,0,18672:4119:2690:1859:1471:1471:1467:1466:1257:71:36:22:22:22:22:22:15
Parallel Machines,1,49981:48363:24518:4201:2065:1671:1670:1666:1629:1258:179:42:25:23:23:22:22
Parallel Machines,2,49981:49981:49606:35876:7563:2195:1968:1673:1670:1629:1367:235:69:53:28:24:23
Parallel Machines,3,49981:49981:49981:49606:42607:10594:5092:1988:1722:1671:1642:1404:284:103:60:42:26
Parallel Programming,0,18672:4119:2690:1859:1471:1471:1467:1466:1257:219:198:189:89:89:89:89:38:38:38:38
Parallel Programming,1,49981:48363:24518:4201:2065:1671:1670:1666:1629:1260:272:206:189:89:89:89:89:38:38:38
Parallel Programming,2,49981:49981:49606:35876:7563:2195:1968:1673:1670:1630:1305:558:231:204:104:103:95:95:45:43
Parallel Programming,3,49981:49981:49981:49606:42607:10594:5092:1988:1722:1672:1635:1348:700:258:210:108:103:95:95:45
Pipelining Showdown,0,18672:267:89:89:83:83:83:14:14:14:11:1:1:1:1:1:1:1:1
Pipelining Showdown,1,49981:49013:3044:301:118:99:98:86:17:17:16:11:1:1:1:1:1:1:1
Pipelining Showdown,2,49981:49981:49336:30708:2576:470:192:98:86:17:17:16:11:6:1:1:1:1:1
Pipelining Showdown,3,49981:49981:49981:49885:40892:12007:2214:314:191:89:78:24:16:12:6:1:1:1:1
Planning For,0,18672:945:905:641:338:313:313:313:236:7:3:3
Planning For,1,49981:44435:12468:1830:704:393:368:368:358:236:68:37
Planning For,2,49981:49981:49167:30925:2315:981:655:611:587:361:249:93
Planning For,3,49981:49981:49981:49754:33709:10704:3327:2846:2467:615:403:268
Pragmatic,0,18672:9652:353:19:15:15:15:15:14
Pragmatic,1,49981:48041:26918:2934:71:19:19:19:17
Pragmatic,2,49981:49981:49606:30143:4962:2470:70:67:60
Pragmatic,3,49981:49981:49981:49745:35258:12184:5451:2663:448
Prediction for,0,18672:9652:1149:395:387:386:315:266:180:180:133:16:15:15
Prediction for,1,49981:48041:23978:2659:716:476:462:392:340:288:217:139:80:22
Prediction for,2,49981:49981:49809:33177:6427:1650:879:658:557:517:464:225:163:96
Prediction for,3,49981:49981:49981:49848:44388:16009:4357:2733:1714:1595:1122:500:299:193
Problems with,0,18672:9652:7958:1541:1200:1199:1199:538:277:26:26:26:26
Problems with,1,49981:48041:20576:8316:1896:1436:1419:1307:954:305:128:54:54
Problems with,2,49981:49981:49599:23483:10572:5292:1438:1425:1359:957:377:140:60
Problems with,3,49981:49981:49981:49676:32755:19179:7414:3675:2093:1413:1033:451:201
Procedures in,0,18672:9652:7958:1906:1899:160:160:160:138:63:40:7:7
Procedures in,1,49981:48041:20576:9027:3527:1973:210:209:186:149:133:41:12
Procedures in,2,49981:49981:49599:28889:12276:4480:2329:211:210:186:182:136:47
Procedures in,3,49981:49981:49981:49716:42903:15382:5081:2683:812:409:290:203:157
Program Sixty Years,0,18672:9652:7958:2106:2101:2044:2044:360:65:6:1:1:1:1:1:1:1:1:1
Program Sixty Years,1,49981:48041:20576:8483:2450:2429:2363:2106:364:76:6:1:1:1:1:1:1:1:1
Program Sixty Years,2,49981:49981:49599:24701:9610:3384:2488:2379:2110:1340:87:35:1:1:1:1:1:1:1
Program Sixty Years,3,49981:49981:49981:49746:40339:16386:5046:2882:2446:2251:1344:178:35:6:1:1:1:1:1
Protein Sequences,0,18672:9652:7958:779:160:69:69:58:22:9:7:7:7:7:7:7:4
Protein Sequences,1,49981:48041:20576:8336:3589:257:168:131:60:22:9:7:7:7:7:7:7
Protein Sequences,2,49981:49981:49599:30927:13740:3946:445:178:131:76:32:30:17:17:17:17:13
Protein Sequences,3,49981:49981:49981:49843:45317:21038:7447:1553:274:148:78:36:32:20:18:18:17
Quantizer,0,1910:1623:703:244:244:193:43:5:4
Quantizer,1,49981:36232:6008:770:310:275:203:48:5
Quantizer,2,49981:49981:49084:28378:4111:2853:275:206:76
Quantizer,3,49981:49981:49981:49684:45462:31277:3500:432:230
RealTime Multimodal,0,13152:8807:1559:902:428:428:428:428:422:16:3:2:2:2:1:1:1:1:1
RealTime Multimodal,1,49981:49301:14871:3174:904:742:529:529:525:426:30:5:4:4:4:1:1:1:1
RealTime Multimodal,2,49981:49981:49829:34432:3244:1536:849:647:640:527:430:44:14:7:4:4:3:1:1
RealTime Multimodal,3,49981:49981:49981:49856:35559:12122:2091:1306:1003:656:530:433:221:31:11:5:4:3:1
Reduce,0,13152:8807:434:390:304:58
Reduce,1,49981:49301:21623:2627:653:314
Reduce,2,49981:49981:49598:26337:5950:1170
Reduce,3,49981:49981:49981:49762:35419:14818
Remote Process,0,13152:8807:177:94:65:65:60:9:8:8:8:8:2:2
Remote Process,1,49981:49301:19625:2511:114:81:79:60:10:9:9:9:8:2
Remote Process,2,49981:49981:49615:26581:5202:444:90:80:62:23:10:9:9:8
Remote Process,3,49981:49981:49981:49885:41840:17460:3063:230:155:131:31:16:12:12
Rtdt A FrontEnd for,0,13152:10:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1
Rtdt A FrontEnd for,1,49981:48694:678:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1
Rtdt A FrontEnd for,2,49981:49981:49323:9353:106:9:4:1:1:1:1:1:1:1:1:1:1:1:1
Rtdt A FrontEnd for,3,49981:49981:49981:49323:42939:5864:487:31:13:1:1:1:1:1:1:1:1:1:1
Rule Acquisition,0,13152:558:407:405:114:4:1:1:1:1:1:1:1:1:1:1
Rule Acquisition,1,49981:39417:9679:980:607:130:4:1:1:1:1:1:1:1:1:1
Rule Acquisition,2,49981:49981:47442:31277:9008:1158:177:4:1:1:1:1:1:1:1:1
Rule Acquisition,3,49981:49981:49981:49818:45211:13114:1668:238:79:67:64:64:64:64:64:64
RunTime Selection,0,13152:558:118:34:34:34:34:34:11:1:1:1:1:1:1:1:1
RunTime Selection,1,49981:39417:6598:118:85:65:65:61:43:16:1:1:1:1:1:1:1
RunTime Selection,2,49981:49981:49230:6906:1566:111:89:87:67:47:16:5:4:1:1:1:1
RunTime Selection,3,49981:49981:49981:49465:31965:4489:1977:1022:302:111:51:24:8:4:3:1:1
SIC A System,0,24746:475:28:21:3:1:1:1:1:1:1:1
SIC A System,1,49981:30699:1026:385:67:18:2:2:2:2:2:2
SIC A System,2,49981:49981:37695:4707:1034:355:60:17:15:15:15:15
SIC A System,3,49981:49981:49981:49729:19374:3481:675:130:70:66:64:64
SIMULA Programming,0,24746:475:68:5:5:5:2:1:1:1:1:1:1:1:1:1:1:1
SIMULA Programming,1,49981:30699:881:75:10:5:5:2:1:1:1:1:1:1:1:1:1:1
SIMULA Programming,2,49981:49981:36142:994:116:28:12:7:2:1:1:1:1:1:1:1:1:1
SIMULA Programming,3,49981:49981:49981:37186:1838:284:129:23:12:7:4:4:4:4:4:4:4:4
SLDDerivations and,0,24746:76:9:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1
SLDDerivations and,1,49981:29555:371:13:4:1:1:1:1:1:1:1:1:1:1:1:1:1
SLDDerivations and,2,49981:49981:35206:668:76:6:2:2:1:1:1:1:1:1:1:1:1:1
SLDDerivations and,3,49981:49981:49981:35206:21686:2146:359:148:78:76:75:56:56:12:7:1:1:1
SQL A Complete Guide,0,24746:44:40:24:4:2:1:1:1:1:1:1:1:1:1:1:1:1:1:1
SQL A Complete Guide,1,49981:25571:242:112:38:14:3:2:1:1:1:1:1:1:1:1:1:1:1:1
SQL A Complete Guide,2,49981:49981:30183:3415:576:259:38:22:10:9:2:2:2:2:2:1:1:1:1:1
SQL A Complete Guide,3,49981:49981:49981:49701:18557:2919:613:226:119:93:12:6:5:5:5:2:1:1:1:1
Sampling,0,24746:617:139:121:120:81:81:81
Sampling,1,49981:48636:9530:798:608:217:100:100
Sampling,2,49981:49981:49173:22169:4919:1311:268:111
Sampling,3,49981:49981:49981:49340:37738:14858:3535:2192
Selection for a,0,24746:5169:672:373:370:370:316:240:240:198:36:32:32:32:4
Selection for a,1,49981:49403:16379:1984:622:528:438:374:320:283:211:90:48:44:33
Selection for a,2,49981:49981:49751:33460:5636:2129:1312:1148:1072:838:316:242:136:112:51
Selection for a,3,49981:49981:49981:49751:40436:19622:8934:4428:4174:2423:937:526:341:280:128
SelfDual 50 25,0,24746:5169:672:293:10:6:6:6:5:1:1:1:1:1
SelfDual 50 25,1,49981:49403:16379:749:293:15:9:6:6:5:1:1:1:1
SelfDual 50 25,2,49981:49981:49751:21019:919:298:85:20:6:6:5:1:1:1
SelfDual 50 25,3,49981:49981:49981:49791:24055:2734:387:129:30:6:6:6:1:1
SelfModifying,0,24746:5169:672:293:9:4:3:3:3:2:2:2:2
SelfModifying,1,49981:49403:16379:749:293:42:5:4:3:3:3:2:2
SelfModifying,2,49981:49981:49751:21019:898:339:93:10:4:3:3:3:2
SelfModifying,3,49981:49981:49981:49791:23464:7712:1516:173:29:4:3:3:3
Serialization Using,0,24746:5169:916:134:44:44:18:18:18:4:4:4:4:3:1:1:1:1:1
Serialization Using,1,49981:49403:28444:5181:313:134:66:38:27:27:26:13:13:11:3:1:1:1:1
Serialization Using,2,49981:49981:49834:39320:15139:2343:565:434:153:137:136:135:122:94:11:3:1:1:1
Serialization Using,3,49981:49981:49981:49929:46882:23302:7586:830:601:305:289:285:284:242:95:15:6:5:3
Server on,0,24746:5169:916:772:215:209:112:1:1
Server on,1,49981:49403:28444:1943:1145:316:246:115:16
Server on,2,49981:49981:49834:30189:9660:1660:614:302:133
Server on,3,49981:49981:49981:49845:43370:18724:5887:879:402
Sets in HPF,0,24746:5169:585:313:179:27:27:26:1:1:1
Sets in HPF,1,49981:49403:18311:1440:807:213:99:60:27:4:1
Sets in HPF,2,49981:49981:49859:38574:17079:3251:2586:2299:105:33:5
Sets in HPF,3,49981:49981:49981:49906:48880:26589:11151:6737:2413:262:33
Specification an,0,24746:2440:1248:908:777:608:554:535:478:478:478:478:478:245:75:74
Specification an,1,49981:39239:13307:2922:1069:895:721:644:594:538:536:536:536:499:269:126
Specification an,2,49981:49981:49562:23738:5715:1087:911:722:661:615:559:552:552:544:505:292
Specification an,3,49981:49981:49981:49748:37498:6811:2725:1302:1259:1048:1007:966:941:867:561:521
State of the Art,0,24746:4519:1329:767:352:235:29:28:28:21:21:21:21:16:16:16
State of the Art,1,49981:48844:16873:5576:1307:438:248:44:38:33:26:26:26:21:20:19
State of the Art,2,49981:49981:49720:35728:15278:3138:559:312:106:46:41:35:30:26:23:22
State of the Art,3,49981:49981:49981:49720:45723:30785:7478:1507:1201:237:134:129:124:37:31:27
Symmetric,0,24746:5992:403:109:109:109:109:83:70
Symmetric,1,49981:35197:8894:549:184:174:173:161:133
Symmetric,2,49981:49981:45177:11990:6597:225:193:182:168
Symmetric,3,49981:49981:49981:45177:29665:10103:1160:692:576
Temporal Reference,0,15838:3398:375:375:319:319:317:315:294:25:24:1:1:1:1:1:1:1
Temporal Reference,1,49981:49323:16758:580:458:404:403:382:378:295:50:25:3:1:1:1:1:1
Temporal Reference,2,49981:49981:49624:25239:3389:1364:453:405:384:378:308:55:27:3:1:1:1:1
Temporal Reference,3,49981:49981:49981:49687:37868:16480:2193:513:427:385:379:315:114:56:10:7:7:7
Testing and,0,15838:3398:792:782:330:330:329:250:27:19:19
Testing and,1,49981:49323:22786:2586:1197:431:417:398:259:55:28
Testing and,2,49981:49981:49699:41592:14561:4202:2190:1803:532:347:124
Testing and,3,49981:49981:49981:49890:48107:28918:16131:12968:3151:1403:904
The Deliberate,0,15838:4825:4198:3087:209:119:3:1:1:1:1:1:1:1
The Deliberate,1,49981:35362:18560:11304:3528:848:150:83:1:1:1:1:1:1
The Deliberate,2,49981:49981:49507:37870:13201:5957:1238:397:86:2:2:2:2:1
The Deliberate,3,49981:49981:49981:49829:40453:22049:7046:2587:436:156:25:9:6:2
The MPEG21 Standard,0,15838:4825:4198:3087:144:2:1:1:1:1:1:1:1:1:1:1:1:1:1
The MPEG21 Standard,1,49981:35362:18560:11304:3443:342:14:3:2:1:1:1:1:1:1:1:1:1:1
The MPEG21 Standard,2,49981:49981:49507:37870:13145:4011:592:27:5:2:2:1:1:1:1:1:1:1:1
The MPEG21 Standard,3,49981:49981:49981:49829:40628:15201:4553:731:41:6:4:3:2:1:1:1:1:1:1
The Root of a,0,15838:4825:4198:3087:190:80:1:1:1:1:1:1:1
The Root of a,1,49981:35362:18560:11304:3404:665:96:5:2:2:2:2:2
The Root of a,2,49981:49981:49507:37870:12898:5623:857:176:90:72:72:72:4
The Root of a,3,49981:49981:49981:49829:39804:21329:6091:1712:372:156:127:126:76
The existforall,0,15838:4825:4198:3087:27:4:1:1:1:1:1:1:1:1:1
The existforall,1,49981:35362:18560:11304:3207:85:11:6:6:1:1:1:1:1:1
The existforall,2,49981:49981:49507:37870:13152:3378:584:75:39:6:1:1:1:1:1
The existforall,3,49981:49981:49981:49829:42044:14066:5103:1065:289:40:10:4:2:2:2
Time versus Space,0,15838:1578:1420:1346:964:3:3:3:3:3:3:3:2:2:2:2:2
Time versus Space,1,49981:49049:8901:3132:1601:974:141:41:3:3:3:3:3:2:2:2:2
Time versus Space,2,49981:49981:49464:35789:14720:1661:1078:310:61:7:6:6:3:3:2:2:2
Time versus Space,3,49981:49981:49981:49886:48548:15733:4279:1522:559:130:71:63:9:3:3:2:2
Tomorrow,0,15838:1863:24:23:9:9:9:9
Tomorrow,1,49981:48624:15299:1210:132:23:9:9
Tomorrow,2,49981:49981:49165:21656:4883:172:23:9
Tomorrow,3,49981:49981:49981:49165:39834:6544:526:27
TopDown,0,15838:1863:260:22:21:21:21
TopDown,1,49981:48624:5702:265:224:27:27
TopDown,2,49981:49981:49023:6218:1397:226:29
TopDown,3,49981:49981:49981:49269:23439:2038:365
TwoWay Head Machines,0,15838:443:420:14:13:13:13:1:1:1:1:1:1:1:1:1:1:1:1:1
TwoWay Head Machines,1,49981:25395:5608:420:40:20:16:13:1:1:1:1:1:1:1:1:1:1:1:1
TwoWay Head Machines,2,49981:49981:48838:5674:968:68:31:16:13:4:1:1:1:1:1:1:1:1:1:1
TwoWay Head Machines,3,49981:49981:49981:48929:19771:1182:445:35:21:14:4:2:2:1:1:1:1:1:1:1
Uncertaintybased,0,5632:1552:156:102:102:102:102:102:102:73:67:1:1:1:1:1
Uncertaintybased,1,49981:48397:10272:6032:515:126:121:121:121:115:85:67:3:1:1:1
Uncertaintybased,2,49981:49981:49221:29538:13388:1155:302:137:136:121:115:87:69:6:1:1
Uncertaintybased,3,49981:49981:49981:49843:40264:18991:5313:485:351:139:123:115:93:79:10:3
Unification Theory,0,5632:1552:715:291:162:71:71:70:70:70:70:45:2:2:2:1:1:1
Unification Theory,1,49981:48397:12272:856:348:192:105:80:80:79:79:74:45:2:2:2:1:1
Unification Theory,2,49981:49981:49523:18417:4910:2268:1710:1621:1584:1582:1581:1127:113:48:8:2:2:1
Unification Theory,3,49981:49981:49981:49655:33281:10694:3983:2759:2634:2509:2507:2207:1146:122:85:31:10:3
Users,0,5632:2982:816:458:88
Users,1,49981:45826:13776:1601:534
Users,2,49981:49981:49680:34104:7362
Users,3,49981:49981:49981:49863:42762
Using Implicit,0,5632:2982:2111:2111:2111:2110:74:10:7:5:4:4:3:3
Using Implicit,1,49981:45826:15906:4341:4075:3800:2138:89:16:9:6:4:4:4
Using Implicit,2,49981:49981:49601:37740:24164:20067:4253:2233:235:50:25:18:9:8
Using Implicit,3,49981:49981:49981:49810:39752:32793:20505:4553:2406:521:119:47:22:18
Werkzeuge fr,0,4400:1254:42:35:30:30:30:30:18:14:6:6
Werkzeuge fr,1,49981:49264:26245:920:41:36:36:36:34:27:18:10
Werkzeuge fr,2,49981:49981:49781:28368:1234:243:39:39:37:34:27:18
Werkzeuge fr,3,49981:49981:49981:49799:28672:9466:317:52:41:38:34:27
Which Shape from,0,4400:392:65:33:33:33:5:1:1:1:1:1:1:1:1:1
Which Shape from,1,49981:32127:6307:999:77:65:34:6:2:1:1:1:1:1:1:1
Which Shape from,2,49981:49981:49255:22656:2022:669:104:36:15:7:3:3:1:1:1:1
Which Shape from,3,49981:49981:49981:49554:30119:16172:1897:167:88:28:16:7:3:1:1:1
a Given Set of,0,47811:8350:208:10:5:5:5:5:2:1:1:1:1:1
a Given Set of,1,49981:49777:12440:1470:36:29:22:20:5:3:1:1:1:1
a Given Set of,2,49981:49981:49779:42643:4417:3060:167:69:24:11:3:1:1:1
a Given Set of,3,49981:49981:49981:49868:43937:19027:5745:2980:371:82:21:8:2:2
a Highly,0,47811:8350:212:85:46:46:7:7
a Highly,1,49981:49777:11534:2405:680:578:93:42
a Highly,2,49981:49981:49779:42431:4293:1177:614:109
a Highly,3,49981:49981:49981:49867:44735:8575:1411:618
a Monotonicity Hint,0,47811:8350:742:212:9:3:1:1:1:1:1:1:1:1:1:1:1:1:1
a Monotonicity Hint,1,49981:49777:18919:6040:912:83:48:44:41:13:13:5:5:5:3:1:1:1:1
a Monotonicity Hint,2,49981:49981:49787:44833:28613:1244:357:161:71:63:33:14:6:6:6:3:1:1:1
a Monotonicity Hint,3,49981:49981:49981:49867:48687:30866:6680:964:238:174:99:37:18:10:9:6:3:1:1
a Robot Attend AAAI,0,47811:8350:338:37:22:15:15:9:1:1:1:1:1:1:1:1:1:1:1
a Robot Attend AAAI,1,49981:49777:16770:3094:585:410:390:147:13:1:1:1:1:1:1:1:1:1:1
a Robot Attend AAAI,2,49981:49981:49795:44619:4180:810:494:426:152:15:3:1:1:1:1:1:1:1:1
a Robot Attend AAAI,3,49981:49981:49981:49870:45911:8801:1716:679:439:155:33:15:1:1:1:1:1:1:1
a Synchronous,0,47811:8350:858:106:17:15:15:15:15:15:8:8:8
a Synchronous,1,49981:49777:25045:6448:689:207:206:205:205:204:86:79:79
a Synchronous,2,49981:49981:49801:30130:8925:955:542:292:291:291:242:124:117
a Synchronous,3,49981:49981:49981:49804:46926:16751:2720:701:399:392:386:336:234
a WLFSR,0,47811:8350:177:1:1:1:1
a WLFSR,1,49981:49777:11210:433:2:1:1
a WLFSR,2,49981:49981:49780:17252:773:15:5
a WLFSR,3,49981:49981:49981:49798:21892:2053:23
a catalog,0,47811:8350:230:46:2:2:2:2:2
a catalog,1,49981:49777:21820:2165:325:155:9:7:7
a catalog,2,49981:49981:49831:39195:16813:3875:355:63:52
a catalog,3,49981:49981:49981:49831:47178:21943:6107:500:96
agent society,0,47811:5650:4516:231:179:119:22:2:2:2:2:1:1
agent society,1,49981:48879:23319:7874:1389:856:169:39:4:2:2:2:1
agent society,2,49981:49981:49855:41843:19990:9813:1286:295:51:7:4:2:2
agent society,3,49981:49981:49981:49908:47931:37055:13015:3547:390:90:31:6:3
an SME,0,47811:22831:2737:121:3:2
an SME,1,49981:49545:42959:8603:226:8
an SME,2,49981:49981:49846:45310:12114:487
an SME,3,49981:49981:49981:49864:46133:14239
and Units,0,47811:22831:12590:11375:179:81:32:3:1
and Units,1,49981:49545:27373:16740:11449:985:129:46:4
and Units,2,49981:49981:49684:48181:17818:12453:2551:679:248
and Units,3,49981:49981:49981:49865:48214:27020:14435:5497:1144
and Using Component,0,47811:22831:12590:11375:179:50:12:12:12:12:1:1:1:1:1:1:1:1:1
and Using Component,1,49981:49545:27373:16740:11449:531:127:25:25:25:13:2:2:2:1:1:1:1:1
and Using Component,2,49981:49981:49684:48181:17818:12463:2829:1295:866:846:77:46:9:6:3:1:1:1:1
and Using Component,3,49981:49981:49981:49865:48214:23531:15051:6147:3033:2394:940:201:60:19:12:5:3:2:2
and looking ahead,0,47811:22831:12590:11375:39:13:2:1:1:1:1:1:1:1:1:1:1
and looking ahead,1,49981:49545:27373:16740:11510:1874:88:4:1:1:1:1:1:1:1:1:1
and looking ahead,2,49981:49981:49684:48181:17928:12787:2413:123:15:8:8:7:1:1:1:1:1
and looking ahead,3,49981:49981:49981:49865:48772:34903:13544:2640:574:173:79:62:8:1:1:1:1
and the Independence,0,47811:22831:12590:11375:554:468:462:394:22:16:1:1:1:1:1:1:1:1:1:1
and the Independence,1,49981:49545:27373:16740:11493:1014:742:516:394:37:17:17:1:1:1:1:1:1:1:1
and the Independence,2,49981:49981:49684:48181:22352:14748:7250:4483:721:543:54:26:17:1:1:1:1:1:1:1
and the Independence,3,49981:49981:49981:49865:49125:26317:19635:11423:4765:1082:574:282:39:21:18:5:5:5:3:3
bedarfsgesteuerter,0,19838:2276:345:4:3:3:2:1:1:1:1:1:1:1:1:1:1:1
bedarfsgesteuerter,1,49981:49337:17630:569:17:5:3:2:2:1:1:1:1:1:1:1:1:1
bedarfsgesteuerter,2,49981:49981:49623:31308:6833:47:5:3:2:2:1:1:1:1:1:1:1:1
bedarfsgesteuerter,3,49981:49981:49981:49865:44077:8927:565:5:3:2:2:1:1:1:1:1:1:1
bezglich Kodierungen,0,19838:2276:14:2:2:2:2:2:2:1:1:1:1:1:1:1:1:1:1:1
bezglich Kodierungen,1,49981:49337:2349:77:3:2:2:2:2:2:1:1:1:1:1:1:1:1:1:1
bezglich Kodierungen,2,49981:49981:49375:7920:282:88:9:3:2:2:2:2:1:1:1:1:1:1:1:1
bezglich Kodierungen,3,49981:49981:49981:49642:26454:8010:770:165:27:2:2:2:2:2:2:1:1:1:1:1
case study,0,40444:9759:435:93:84:57:53:53:52:50
case study,1,49981:49089:22897:6840:2234:125:66:58:57:56
case study,2,49981:49981:49649:37874:22850:3455:489:313:301:277
case study,3,49981:49981:49981:49886:48641:27824:4949:774:439:394
combinatorial,0,40444:5948:1750:86:81:81:58:55:16:16:14:14:14
combinatorial,1,49981:49193:16608:2226:581:505:282:259:181:140:119:104:104
combinatorial,2,49981:49981:49462:20318:5550:1650:608:329:261:184:181:121:104
combinatorial,3,49981:49981:49981:49556:40505:20535:3136:1422:338:267:258:181:126
constraints in,0,40444:5948:1896:441:316:301:86:86:86:62:38:17:5:5
constraints in,1,49981:49193:35163:9332:2096:1652:964:700:700:591:299:172:48:38
constraints in,2,49981:49981:49763:39884:14578:3901:1975:998:739:717:597:540:174:72
constraints in,3,49981:49981:49981:49862:47313:21722:6577:2297:1213:1054:728:709:549:186
development of,0,35679:10490:125:100:99:99:99:86:86:86:86:63:19:17
development of,1,49981:49550:13117:2340:1358:832:830:671:661:658:658:503:235:193
development of,2,49981:49981:49583:31856:7416:1408:854:834:692:676:663:663:506:244
development of,3,49981:49981:49981:49583:36986:10492:1484:869:858:831:682:682:668:511
extraction,0,49217:3070:1046:58:45:40:40:36:31:31
extraction,1,49981:49257:30228:4030:803:282:263:238:192:191
extraction,2,49981:49981:49818:43828:17237:3332:1954:1243:718:708
extraction,3,49981:49981:49981:49887:47868:23831:12105:7844:5598:5141
for Fortran,0,33594:16532:16412:13410:385:28:20:3:3:3:3
for Fortran,1,49981:48511:28748:17996:13454:2222:144:41:3:3:3
for Fortran,2,49981:49981:49573:43211:19036:13996:4236:570:78:29:8
for Fortran,3,49981:49981:49981:49872:43756:28046:15511:7544:1258:420:93
for Matching,0,33594:16532:16412:13410:915:141:18:5:5:5:5:5
for Matching,1,49981:48511:28748:17996:13500:2715:452:37:27:19:19:9
for Matching,2,49981:49981:49573:43211:19845:16684:6797:636:139:90:73:40
for Matching,3,49981:49981:49981:49872:44439:27836:18581:9244:2337:639:486:352
for Ordering,0,33594:16532:16412:13410:292:27:13:11:11:2:2:2
for Ordering,1,49981:48511:28748:17996:13435:1110:30:17:13:11:2:2
for Ordering,2,49981:49981:49573:43211:18613:13808:1829:643:133:28:25:14
for Ordering,3,49981:49981:49981:49872:43750:22634:14351:6719:1889:371:132:117
for Safety and,0,33594:16532:16412:13410:1023:28:13:13:11:11:7:2:2:2
for Safety and,1,49981:48511:28748:17996:13568:2880:120:19:14:12:12:7:3:2
for Safety and,2,49981:49981:49573:43211:21263:16360:3220:583:131:26:22:14:9:5
for Safety and,3,49981:49981:49981:49872:45247:28252:16708:7919:1603:183:68:29:22:16
for combining,0,33594:16532:16412:13410:175:114:47:5:5:5:1:1:1
for combining,1,49981:48511:28748:17996:13511:1957:427:71:30:29:11:7:7
for combining,2,49981:49981:49573:43211:18647:14147:2910:686:230:66:32:12:8
for combining,3,49981:49981:49981:49872:45866:28530:19053:3434:1234:605:149:76:50
for embedded,0,33594:16532:16412:13410:89:10:9:9:9:9:8:8
for embedded,1,49981:48511:28748:17996:13587:638:43:39:39:39:37:36
for embedded,2,49981:49981:49573:43211:20487:16574:1193:190:56:47:44:42
for embedded,3,49981:49981:49981:49872:47145:24016:16709:5868:478:118:89:86
geographic,0,36337:9709:97:9:9:9:9:9:8:8
geographic,1,49981:49578:15774:201:82:78:74:74:65:61
geographic,2,49981:49981:49891:22692:9278:4448:443:439:251:221
geographic,3,49981:49981:49981:49891:44826:18317:4941:848:510:315
in Description,0,48605:32394:9997:656:120:13:3:3:3:3:3:3:3:3
in Description,1,49981:49509:43811:11757:2675:581:95:49:40:39:39:35:32:32
in Description,2,49981:49981:49852:44898:24148:6021:1101:525:475:221:220:193:187:180
in Description,3,49981:49981:49981:49855:48701:32411:8746:2131:1140:549:284:270:266:234
in Genua,0,48605:32394:9997:181:67:45:1:1
in Genua,1,49981:49509:43811:10776:1835:367:46:1
in Genua,2,49981:49981:49852:44291:22139:4900:542:57
in Genua,3,49981:49981:49981:49854:48652:32246:6579:1334
in Minimal Temporal,0,48605:32394:9997:598:32:13:8:5:4:4:2:1:1:1:1:1:1:1:1
in Minimal Temporal,1,49981:49509:43811:12534:1802:385:124:77:28:24:23:3:2:1:1:1:1:1:1
in Minimal Temporal,2,49981:49981:49852:44992:18791:7311:1203:402:167:102:90:30:7:2:1:1:1:1:1
in Minimal Temporal,3,49981:49981:49981:49860:47464:30745:9168:1677:696:304:257:102:44:10:3:2:1:1:1
in Stored,0,48605:32394:9997:615:88:11:5:2:1
in Stored,1,49981:49509:43811:14249:2346:249:78:10:2
